id,citation,title,year,journal,pmid,doi,modality,population,n,exposure_time_definition,outcomes,seasonality_effect,adjustments,study_design,full_text_status,pdf_filename,notes
A01,"Fagard R, et al. Circulation. 1983.",Noninvasive assessment of seasonal variations in cardiac structure and function in cyclists.,1983,Circulation,6825246,10.1161/01.cir.67.4.896,Echocardiography/noninvasive cardiac assessment,Cyclists,,Across training year / seasons,Cardiac structure and function,Direct seasonal variation reported in title; likely athlete remodeling across season,,Longitudinal athlete study,metadata_only,,"High relevance, older paper, abstract not available in PubMed"
A02,"Crouse SF, et al. Res Q Exerc Sport. 1992.",Cardiac structure and function in women basketball athletes: seasonal variation and comparisons with nonathletic controls.,1992,Research quarterly for exercise and sport,1439164,10.1080/02701367.1992.10608761,Echocardiography,Women collegiate basketball athletes and nonathletic controls,15,"Fall, winter, spring, subsequent fall","LV dimensions, LVEDV, stroke volume, cardiac structure/function",Seasonal changes observed across the competitive/training year,Compared with controls,Longitudinal athlete study,metadata_only,,Direct imaging evidence
A03,"Dernovoj B, et al. Eur J Appl Physiol. 2022.",Seasonal variation of right heart function in elite skiers-racers: an echocardiographic study.,2022,European journal of applied physiology,35249137,10.1007/s00421-022-04907-5,Echocardiography,Elite male skiers,16,Winter versus summer,"Right heart structure and function, RV filling, pulmonary ejection time","Right heart dimensions largely stable, but winter showed functional differences",,Longitudinal athlete study,metadata_only,,Strong direct imaging paper
A04,"Forsythe L, et al. Echo Res Pract. 2023.",Seasonal variation of cardiac structure and function in the elite rugby football league athlete.,2023,Echo research and practice,37817231,10.1186/s44156-023-00026-9,"ECG, 2D echo, speckle tracking",Elite male rugby league athletes,,Four time points across one season,"Cardiac structure, conventional function, mechanics",Conventional measures mostly stable; some mechanics varied across season,,Longitudinal athlete study,retrieved_open_access,A04_Forsythe_L_et_al_2023_Seasonal_variation_of_cardiac_structure_and_function_in_the_elite_rugby_football_league_athlete.pdf,Direct imaging evidence
A05,"Tsao TM, et al. Hypertens Res. 2019.",Health effects of seasonal variation in cardiovascular hemodynamics among workers in forest environments.,2019,Hypertension research,30429541,10.1038/s41440-018-0136-z,Oscillometric hemodynamics,Adult workers in forest environments,72,Winter versus summer,"Cardiac output, LV contractility proxy, vascular resistance, blood pressure",Winter associated with higher vascular stress and lower cardiac output/contractility proxies,,Repeated-measures physiology study,metadata_only,,Indirect but relevant physiology
A06,"Radke KJ, Izzo JL. J Hum Hypertens. 2010.",Seasonal variation in haemodynamics and blood pressure-regulating hormones.,2010,Journal of human hypertension,19776756,10.1038/jhh.2009.75,Dual-gas rebreathing and hormone assays,Adults with normal BP or early hypertension,34,Seasonal comparison,"Cardiac output, stroke volume, vascular resistance, hormones",Cardiac output and stroke volume fell in winter while resistance rose,,Repeated-measures physiology study,metadata_only,,Important mechanistic paper
A07,"Kristal-Boneh E, et al. J Cardiovasc Risk. 2000.",Summer-winter differences in 24 h variability of heart rate.,2000,Journal of cardiovascular risk,10879418,10.1177/204748730000700209,Ambulatory ECG / HRV,Healthy men,120,Summer versus winter,24-hour HRV indexes,Seasonal differences in HRV may contribute to winter cardiovascular risk,,Repeated-measures physiology study,metadata_only,,Indirect autonomic evidence
A08,"Kristiansen J, et al. Scand J Clin Lab Invest. 2009.",Reproducibility and seasonal variation of ambulatory short-term heart rate variability in healthy subjects during a self-selected rest period and during sleep.,2009,Scandinavian journal of clinical and laboratory investigation,19424916,10.3109/00365510902946984,Ambulatory ECG / HRV,Healthy adults,19,Monthly over 12 months,Short-term HRV metrics,Weak but measurable seasonal variation in selected HRV metrics,,Prospective repeated-measures physiology study,metadata_only,,Indirect autonomic evidence
A09,"Markov AL, et al. Int J Occup Med Environ Health. 2016.",Heart rate variability in workers of various professions in contrasting seasons of the year.,2016,International journal of occupational medicine and environmental health,27518888,10.13075/ijomeh.1896.00276,Short-term ECG / HRV,Workers with differing occupational exposures,,Contrasting seasons,HRV and autonomic balance,Winter-summer HRV shifts more marked in outdoor-exposed workers,,Comparative seasonal physiology study,metadata_only,,Indirect autonomic evidence
A10,"Sato M, et al. Int J Biometeorol. 2013.",Seasonal differences in melatonin concentrations and heart rates during sleep in obese subjects in Japan.,2013,International journal of biometeorology,23111917,10.1007/s00484-012-0601-3,Overnight ECG / sleep physiology,Obese and non-obese adults,,Seasonal sleep recordings,Night heart rate and related autonomic measures,Seasonal differences in heart rate during sleep observed,,Seasonal physiology study,metadata_only,,Indirect autonomic evidence
A11,"Zhao Q, et al. Exp Clin Cardiol. 2013.",The seasonal variation in hospitalizations due to chronic systolic heart failure correlates with blood sodium levels and cardiac function.,2013,Experimental and clinical cardiology,23940424,,Clinical cohort,Chronic systolic heart failure admissions,16145,Month and season of hospitalization,"HF hospitalizations, sodium, cardiac function markers",Marked seasonal variation with peaks and association with disease severity markers,,Retrospective hospital study,metadata_only,,Indirect but clinically informative
A12,"Gallerani M, et al. Clin Cardiol. 2011.",Seasonal variation in heart failure hospitalization.,2011,Clinical cardiology,21538387,10.1002/clc.20895,Hospital epidemiology,Heart failure admissions,,Seasonal admission patterns,HF hospitalization,"Seasonal pattern present, with winter prominence",,Retrospective hospital study,metadata_only,,Indirect evidence
A13,"Boulay F, et al. Circulation. 1999.",Seasonal variation in chronic heart failure hospitalizations and mortality in France.,1999,Circulation,10411853,10.1161/01.cir.100.3.280,Nationwide epidemiology,French adults with chronic HF,,Season and month,HF hospitalization and mortality,Strong winter peak in hospitalization and mortality,,Nationwide retrospective study,metadata_only,,Seminal heart failure seasonality paper
A14,"Matsuda N, et al. J Cardiol. 2024.",Investigating the seasonal variation of heart failure hospitalizations and in-hospital mortality risks in Japan using a nationwide database.,2024,Journal of cardiology,37666321,10.1016/j.jjcc.2023.08.014,Nationwide database,Japanese heart failure admissions,,Season and month,HF admissions and in-hospital mortality,Winter excess in hospitalizations and mortality in a modern national dataset,,Nationwide retrospective study,metadata_only,,Contemporary large study
A15,"Okabe T, et al. Eur Heart J Acute Cardiovasc Care. 2026.",Clinical Impact of Seasonal and Environmental Factors in Patients with Acute Heart Failure.,2026,European heart journal. Acute cardiovascular care,41989308,10.1093/ehjacc/zuag059,Acute HF cohort,Patients hospitalized for acute heart failure,2857,Season of admission,Clinical characteristics and outcomes,Winter-associated worsening and seasonal differences in acute HF profile,,Hospital cohort study,metadata_only,,Recent clinically relevant paper
A16,"Tang X, et al. BMC Cardiovasc Disord. 2022.","Novel insights into the association between seasonal variations, blood pressure, and blood pressure variability in patients with new-onset essential hypertension.",2022,BMC cardiovascular disorders,36076170,10.1186/s12872-022-02840-1,Ambulatory BP / variability,New-onset essential hypertension patients,440,Seasonal comparison,BP and BP variability,Winter peaks in BP and links between seasonality and BP variability,,Retrospective observational study,retrieved_open_access,A16_Tang_X_et_al_2022_Novel_insights_into_the_association_between_seasonal_variations_blood_pressure_and_blood_pressure_variability_in_patient.pdf,Indirect but relevant hemodynamic evidence
A17,"Kita T, et al. Clin Exp Hypertens. 2019.",Seasonal variation of novel arterial stiffness indexes in Japanese hypertensive patients.,2019,Clinical and experimental hypertension,30409046,10.1080/10641963.2018.1539092,Arterial stiffness indices,Japanese hypertensive patients,,Seasonal clinic measurements,"AVI, API, blood pressure",Arterial stiffness measures vary seasonally in parallel with BP,,Observational repeated-measures study,metadata_only,,Indirect vascular evidence
