id,citation,title,year,journal_or_book,pmid,doi,method_class,data_setting,key_idea,assumptions,strengths,limitations,applicability_to_irregular_cardiac_mri,notes
M01,"Edwards JH. Ann Hum Genet. 1961.","The recognition and estimation of cyclic trends.",1961,"Annals of Human Genetics",,,"Circular/harmonic test","Event counts by time of year","Test annual cyclic pattern using harmonic representation","Single dominant sinusoid; event dates meaningful","Classic, simple, interpretable","Best for counts/events rather than continuous phenotypes","Partial","Historical foundation for seasonality testing"
M02,"Walter SD, Elwood JM. Br J Prev Soc Med. 1975.","A test for seasonality of events with a variable population at risk.",1975,"British Journal of Preventive and Social Medicine",,,"Adjusted Edwards-type test","Event counts with varying population at risk","Harmonic test adjusted for unequal exposure and month length","Approximate sinusoidal event rate","Handles varying denominators","Still event-focused, not ideal for covariate-rich continuous outcomes","Partial","Useful if analyzing event counts from image-derived thresholds"
M03,"Serfling RE. Public Health Rep. 1963.","Methods for current statistical analysis of excess pneumonia-influenza deaths.",1963,"Public Health Reports",,,"Harmonic regression baseline","Aggregated time series","Model seasonal baseline with sine/cosine terms","Smooth trend plus recurring seasonal baseline","Foundational seasonal regression approach","Designed for regular aggregated series","Partial","Important historical reference for harmonic terms"
M04,"Stolwijk AM, Straatman H, Zielhuis GA. J Epidemiol Community Health. 1999.","Studying seasonality by using sine and cosine functions in regression analysis.",1999,"Journal of Epidemiology and Community Health",10396550,"10.1136/jech.53.4.235","Harmonic regression in GLM","Epidemiologic regression with calendar timing","Represent seasonality with sine and cosine covariates","Seasonality approximately sinusoidal unless higher harmonics added","Highly transferable, easy covariate adjustment, works with irregular timing","Misses complex seasonal shapes if only one harmonic used","Yes","One of the most directly relevant references"
M05,"Nelson W, Tong YL, Lee JK, Halberg F. Chronobiologia. 1979.","Methods for cosinor-rhythmometry.",1979,"Chronobiologia",,,"Cosinor","Rhythmic biomedical measurements","Estimate mesor, amplitude, phase for known period","Known period, approximately sinusoidal rhythm","Canonical biomedical rhythm method","Parametric and period-dependent","Yes","Standard chronobiology reference"
M06,"Lentz MJ. West J Nurs Res. 1990.","Time-series analysis, cosinor analysis: a special case.",1990,"Western Journal of Nursing Research",,,"Cosinor tutorial","Biomedical repeated measures","Introductory explanation of cosinor as regression/time-series special case","Known period and sinusoidal shape","Accessible explanation","Not a deep technical source","Yes","Useful pedagogic citation"
M07,"Cornelissen G. Theor Biol Med Model. 2014.","Cosinor-based rhythmometry.",2014,"Theoretical Biology and Medical Modelling",24725531,"10.1186/1742-4682-11-16","Cosinor review","Chronobiology and biomedical rhythms","Single and extended cosinor models for rhythmic data","Specified period(s), regression assumptions","Best biomedical review; discusses non-equidistant data","Still largely parametric","Yes","Highly relevant review"
M08,"Fisher NI. 1993.","Statistical Analysis of Circular Data.",1993,"Book",,,"Circular statistics","Calendar angle/date data","Treat season as circular variable and analyze phase concentration/differences","Observations live on a circle","Strong framework for phase/date inference","Less natural for multivariable continuous-outcome regression","Partial","Useful for timing of peak effect"
M09,"Mardia KV, Jupp PE. 2000.","Directional Statistics.",2000,"Book",,,"Directional statistics","Angular/circular data","General theory for inference on circular or directional variables","Circular geometry assumptions","Foundational theory","Abstract and not application-specific","Partial","Reference text for circular methods"
M10,"Lomb NR. Astrophys Space Sci. 1976.","Least-squares frequency analysis of unequally spaced data.",1976,"Astrophysics and Space Science",,,"Lomb periodogram","Unevenly spaced observations","Spectral analysis without regular spacing","Stationary-ish periodic signal in noise","Handles irregular observation times directly","Limited confounder adjustment in basic form","Yes","Good exploratory periodicity check"
M11,"Scargle JD. Astrophys J. 1982.","Studies in astronomical time series analysis. II. Statistical aspects of spectral analysis of unevenly spaced data.",1982,"The Astrophysical Journal",,,"Lomb-Scargle periodogram","Unevenly spaced observations","Statistical framework for unevenly sampled spectral analysis","Similar to Lomb","Very influential for irregular sampling","Mostly exploratory unless extended","Yes","Key reference for irregular sampling"
M12,"VanderPlas JT. ApJS. 2018.","Understanding the Lomb-Scargle Periodogram.",2018,"The Astrophysical Journal Supplement Series",,,"Modern Lomb-Scargle review","Unevenly spaced periodic data","Practical review of Lomb-Scargle variants and interpretation","Periodic signal in noisy observations","Best modern tutorial","Still not the main covariate-adjusted inferential tool","Yes","Very useful implementation guide"
M13,"Priestley MB. 1981.","Spectral Analysis and Time Series.",1981,"Book",,,"Spectral analysis","Time-series with periodic components","Frequency-domain decomposition of variation","Stationarity assumptions often matter","Classic deep reference","Not the easiest primary tool for MRI phenotype inference","Partial","Background theory"
