id,citation,pmid,status,pdf_filename,pdf_url,note
A01,"Fagard R, et al. Circulation. 1983.",6825246,not_open_access,,,No open-access PDF found via Europe PMC
A02,"Crouse SF, et al. Res Q Exerc Sport. 1992.",1439164,not_open_access,,,No open-access PDF found via Europe PMC
A03,"Dernovoj B, et al. Eur J Appl Physiol. 2022.",35249137,not_open_access,,,No open-access PDF found via Europe PMC
A04,"Forsythe L, et al. Echo Res Pract. 2023.",37817231,downloaded,A04_Forsythe_L_et_al_2023_Seasonal_variation_of_cardiac_structure_and_function_in_the_elite_rugby_football_league_athlete.pdf,https://europepmc.org/articles/PMC10566089?pdf=render,
A05,"Tsao TM, et al. Hypertens Res. 2019.",30429541,not_open_access,,,No open-access PDF found via Europe PMC
A06,"Radke KJ, Izzo JL. J Hum Hypertens. 2010.",19776756,not_open_access,,,No open-access PDF found via Europe PMC
A07,"Kristal-Boneh E, et al. J Cardiovasc Risk. 2000.",10879418,not_open_access,,,No open-access PDF found via Europe PMC
A08,"Kristiansen J, et al. Scand J Clin Lab Invest. 2009.",19424916,not_open_access,,,No open-access PDF found via Europe PMC
A09,"Markov AL, et al. Int J Occup Med Environ Health. 2016.",27518888,not_open_access,,,No open-access PDF found via Europe PMC
A10,"Sato M, et al. Int J Biometeorol. 2013.",23111917,not_open_access,,,No open-access PDF found via Europe PMC
A11,"Zhao Q, et al. Exp Clin Cardiol. 2013.",23940424,not_open_access,,,No open-access PDF found via Europe PMC
A12,"Gallerani M, et al. Clin Cardiol. 2011.",21538387,not_open_access,,,No open-access PDF found via Europe PMC
A13,"Boulay F, et al. Circulation. 1999.",10411853,not_open_access,,,No open-access PDF found via Europe PMC
A14,"Matsuda N, et al. J Cardiol. 2024.",37666321,not_open_access,,,No open-access PDF found via Europe PMC
A15,"Okabe T, et al. Eur Heart J Acute Cardiovasc Care. 2026.",41989308,not_open_access,,,No open-access PDF found via Europe PMC
A16,"Tang X, et al. BMC Cardiovasc Disord. 2022.",36076170,downloaded,A16_Tang_X_et_al_2022_Novel_insights_into_the_association_between_seasonal_variations_blood_pressure_and_blood_pressure_variability_in_patient.pdf,https://europepmc.org/articles/PMC9461197?pdf=render,
A17,"Kita T, et al. Clin Exp Hypertens. 2019.",30409046,not_open_access,,,No open-access PDF found via Europe PMC
A18,"Narita K, et al. Hypertension. 2022.",35770661,not_open_access,,,No open-access PDF found via Europe PMC
A19,"Mete T, et al. ESC Heart Fail. 2019.",31483570,downloaded,A19_Mete_T_et_al_2019_Impact_of_environmental_factors_on_heart_failure_decompensations.pdf,https://europepmc.org/articles/PMC6989274?pdf=render,
A20,"Zareba W, et al. Pacing Clin Electrophysiol. 2020.",32579238,not_open_access,,,No open-access PDF found via Europe PMC
A21,"Muller JE, et al. Chronobiol Int. 1991.",1797411,not_open_access,,,No open-access PDF found via Europe PMC
A22,"Alencar AP, et al. PLoS One. 2018.",29300764,downloaded,A22_Alencar_AP_et_al_2018_Increased_hospitalizations_for_decompensated_heart_failure_and_acute_myocardial_infarction_during_mild_winters_A_seven_y.pdf,https://europepmc.org/articles/PMC5754126?pdf=render,
A23,"Kobayashi M, et al. Circ J. 2015.",25421314,not_open_access,,,No open-access PDF found via Europe PMC
A24,"Sato N, et al. Int J Cardiol. 2020.",32360644,not_open_access,,,No open-access PDF found via Europe PMC
A25,"Bhatia S, et al. Heart Fail Clin. 2017.",28865777,not_open_access,,,No open-access PDF found via Europe PMC
A26,"Ishikuro M, et al. Clin Exp Hypertens. 2012.",22578087,not_open_access,,,No open-access PDF found via Europe PMC
A27,"Cicero AFG, et al. PLoS One. 2017.",28231259,downloaded,A27_Cicero_AFG_et_al_2017_Impact_of_seasonality_and_air_pollutants_on_carotid_femoral_pulse_wave_velocity_and_wave_reflection_in_hypertensive_pati.pdf,https://europepmc.org/articles/PMC5322949?pdf=render,
A28,"Mancia G, et al. J Hypertens. 1998.",9856358,not_open_access,,,No open-access PDF found via Europe PMC
A29,"Mazzanti A, et al. Int J Environ Res Public Health. 2023.",36833593,downloaded,A29_Mazzanti_A_et_al_2023_Circadian_and_Seasonal_Pattern_of_Arrhythmic_Events_in_Arrhythmogenic_Cardiomyopathy_Patients.pdf,https://europepmc.org/articles/PMC9956986?pdf=render,
