pmid,year,journal,doi,title,abstract
37598693,2023,The Lancet. Child & adolescent health,10.1016/S2352-4642(23)00166-9,Subgroups of children with Kawasaki disease: a data-driven cluster analysis.,"Although Kawasaki disease is commonly regarded as a single disease entity, variability in clinical manifestations and disease outcome has been recognised. We aimed to use a data-driven approach to identify clinical subgroups. We analysed clinical data from patients with Kawasaki disease diagnosed at Rady Children's Hospital (San Diego, CA, USA) between Jan 1, 2002, and June 30, 2022. Patients were grouped by hierarchical clustering on principal components with k-means parcellation based on 14 variables, including age at onset, ten laboratory test results, day of illness at the first intravenous immunoglobulin infusion, and normalised echocardiographic measures of coronary artery diameters at diagnosis. We also analysed the seasonality and Kawasaki disease incidence from 2002 to 2019 by subgroup. To explore the biological underpinnings of identified subgroups, we did differential abundance analysis on proteomic data of 6481 proteins from 32 patients with Kawasaki disease and 24 healthy children, using linear regression models that controlled for age and sex. Among 1016 patients with complete data in the final analysis, four subgroups were identified with distinct clinical features: (1) hepatobiliary involvement with elevated alanine transaminase, gamma-glutamyl transferase, and total bilirubin levels, lowest coronary artery aneurysm but highest intravenous immunoglobulin resistance rates (n=157); (2) highest band neutrophil count and Kawasaki disease shock rate (n=231); (3) cervical lymphadenopathy with high markers of inflammation (erythrocyte sedimentation rate, C-reactive protein, white blood cell, and platelet counts) and lowest age-adjusted haemoglobin Z scores (n=315); and (4) young age at onset with highest coronary artery aneurysm but lowest intravenous immunoglobulin resistance rates (n=313). The subgroups had distinct seasonal and incidence trajectories. In addition, the subgroups shared 211 differential abundance proteins while many proteins were unique to a subgroup. Our data-driven analysis provides insight into the heterogeneity of Kawasaki disease, and supports the existence of distinct subgroups with important implications for clinical management and research design and interpretation. US National Institutes of Health and the Irving and Francine Suknow Foundation."
27432657,2016,Handbook of clinical neurology,10.1016/B978-0-444-53485-9.00001-5,Computed tomography imaging and angiography - principles.,"The evaluation of patients with diverse neurologic disorders was forever changed in the summer of 1973, when the first commercial computed tomography (CT) scanners were introduced. Until then, the detection and characterization of intracranial or spinal lesions could only be inferred by limited spatial resolution radioisotope scans, or by the patterns of tissue and vascular displacement on invasive pneumoencaphalography and direct carotid puncture catheter arteriography. Even the earliest-generation CT scanners - which required tens of minutes for the acquisition and reconstruction of low-resolution images (128×128 matrix) - could, based on density, noninvasively distinguish infarct, hemorrhage, and other mass lesions with unprecedented accuracy. Iodinated, intravenous contrast added further sensitivity and specificity in regions of blood-brain barrier breakdown. The advent of rapid multidetector row CT scanning in the early 1990s created renewed enthusiasm for CT, with CT angiography largely replacing direct catheter angiography. More recently, iterative reconstruction postprocessing techniques have made possible high spatial resolution, reduced noise, very low radiation dose CT scanning. The speed, spatial resolution, contrast resolution, and low radiation dose capability of present-day scanners have also facilitated dual-energy imaging which, like magnetic resonance imaging, for the first time, has allowed tissue-specific CT imaging characterization of intracranial pathology."
20352587,2010,Seminars in neurology,10.1055/s-0030-1249226,Cluster headache: diagnosis and treatment.,"Cluster headache is a rare yet exquisitely painful primary headache disorder occurring in either episodic or chronic patterns. The unique feature of cluster headache is the distinctive circadian and circannual periodicity in the episodic forms. The attacks are stereotypic--they are of extreme intensity and short duration, occur unilaterally, and are associated with robust signs and symptoms of autonomic dysfunction. Although the pathophysiology of cluster headache remains to be fully understood, there have been a number of recent seminal observations. To exclude structural mimics, patients presenting with symptoms suggestive of cluster headache warrant at least a brain magnetic resonance imaging (MRI) scan in their work-up. The medical treatment of cluster headache includes acute, transitional, and maintenance prophylaxis. Agents used for acute therapy include inhalation of oxygen, triptans, such as sumatriptan, and dihydroergotamine. Transitional prophylaxis refers to the short-term use of fast-acting agents. This typically involves either corticosteroids or an occipital nerve block. The mainstay of prophylactic therapy is verapamil. Yet, other medications, including lithium, divalproex sodium, topiramate, methysergide, gabapentin, and even indomethacin, may be useful when the headache fails to respond to verapamil. For medically refractory patients, surgical interventions, occipital nerve stimulation, and deep brain stimulation remain an option. As the sophistication of functional neuroimaging increases, better insight into the pathophysiological mechanisms that underlie cluster headache is expected."
35249137,2022,European journal of applied physiology,10.1007/s00421-022-04907-5,Seasonal variation of right heart function in elite skiers-racers: an echocardiographic study.,"To examine seasonal variation of the right heart (RH) structure and function in elite skiers-racers. The same group of 16 male was recruited into the study in the period of preparation for national competitions. The study was carried out at the hospital in Sykyvkar, the European North of Russia, which is located near 62° NL and 51° EL. The winter resting echocardiography study was performed in December 2017 (with the average temperature of - 7.8 °C) and the summer resting echocardiography study was performed in July 2018 (with the average temperature of + 23.8 °C). No significant difference was seen between the right atrium and ventricle dimensions in diastole in winter and summer (P > 0.05). In December both early diastolic peak filling velocity of the right ventricle (RV) and late atrial diastolic peak filling velocity of the RV were greater than that measured in July: 65 ± 7 vs. 56 ± 6 cm/s and 40 ± 6 vs. 34 ± 3 cm/s, respectively (P < 0.05). It was found out that blood flow ejection time at the root of pulmonary artery in winter was greater than in summer: 371 ± 27 vs. 345 ± 27 ms, respectively (P < 0.05). Regurgitation of blood flow in the tricuspid valve (from 1 to 1.5 grade or mild/moderate) was observed in all of the sixteen skiers studied. The right heart functional adaptation to cold occurs in elite skiers-racers. The right heart intracardiac hemodynamics increased in winter time."
34558256,2021,Annals of agricultural and environmental medicine : AAEM,10.26444/aaem/127062,Correlation between vitamin D and alterations in MRI among patients with multiple sclerosis.,"Multiple sclerosis (MS) is a disease of unknown etiology. Diagnosis of MS is primarily based on detection of myelin damage by magnetic resonance imaging (MRI) and classification of demyelination according to the McDonald Criteria. Cholecalciferol (vitamin D3) has been shown to affect the onset and progression of MS via its immunomodulating properties. The role of vitamin D in MS pathogenesis and treatment deserves further investigation, as there is sufficient evidence to suggest a correlation between vitamin D blood level and brain MRI lesion load. Elevated blood vitamin D concentration is linked with demyelination, as determined by T2-weighted and gadolinium-enhanced MRI. Blood vitamin D blood levels are affected by sun exposure, among other factors; however, there is no evident connection between abnormalities in myelination and seasonality. Vitamin D supplementation among MS patients has been associated with a lower probability of new lesions and loss of existing lesion volume, as observed seen in T1-weighted MRI scans (p=0.03). An increase in TGF-beta levels was noted among patients using vitamin D supplementation, which may suggest a mechanism by which cholecalciferol may improve MS prognosis. Patients with clinically isolated syndrome (CIS) exhibited an inverse correlation between vitamin D concentration and risk of new lesions as seen in T2-weighted MRI scans. Moreover, vitamin D intake among these patients lowered the risk of progression to clinically definite multiple sclerosis (CDMS). Daily intake of vitamin D during fingolimod treatment correlated strongly with lower numbers of new lesions. High dose vitamin D supplementation during interferon beta-1a treatment was linked to lower mean percentage of lesions compared with volume pre-treatment seen by T2-weighted MRI. Recent findings advocate for the monitoring of vitamin D blood levels in MS patients. Vitamin D supplementation should be considered in both MS patients and patients with CIS, where other signs of disease may be delayed. Moreover, vitamin D supplementation appears to lower the likelihood of new demyelination changes apparent in MRI examinations."
1855409,1991,Ciba Foundation symposium,10.1002/9780470514047.ch10,Fetal brain development and later schizophrenia.,"Computed tomography and magnetic resonance imaging studies have shown cerebral ventricular enlargement and a decreased volume of temporal lobe structures in a proportion of schizophrenic patients. Neuropathological investigations confirm these findings and also show diminished volume of the hippocampus and abnormal pre-alpha cell clusters in the parahippocampal gyrus. Compared with controls, schizophrenic patients are more likely to have minor physical anomalies, to have a history of obstetric complications, and to have been born in the late winter. Together the evidence regarding structural brain abnormalities and epidemiology suggests that a significant proportion of cases of schizophrenia have their origins in fetal or neonatal life. The mechanisms involved in the aberrant neurodevelopment remain obscure but some impairment of neuronal migration is an appealing hypothesis."
36205783,2022,"Journal of neural transmission (Vienna, Austria : 1996)",10.1007/s00702-022-02544-y,Obsessive-compulsive symptoms in ACTG1-associated Baraitser-Winter cerebrofrontofacial syndrome.,"Symptoms of obsessive-compulsive disorder (OCD) may rarely occur in the context of genetic syndromes. So far, an association between obsessive-compulsive symptoms (OCS) and ACTG1-associated Baraitser-Winter cerebrofrontofacial syndrome has not been described as yet. A thoroughly phenotyped patient with OCS and ACTG1-associated Baraitser-Winter cerebrofrontofacial syndrome is presented. The 25-year-old male patient was admitted to in-patient psychiatric care due to OCD. A whole-exome sequencing analysis was initiated as the patient also showed an autistic personality structure, below average intelligence measures, craniofacial dysmorphia signs, sensorineural hearing loss, and sinus cavernoma as well as subtle cardiac and ophthalmological alterations. The diagnosis of Baraitser-Winter cerebrofrontofacial syndrome type 2 was confirmed by the detection of a heterozygous likely pathogenic variant in the ACTG1 gene [c.1003C > T; p.(Arg335Cys), ACMG class 4]. The automated analysis of magnetic resonance imaging (MRI) revealed changes in the orbitofrontal, parietal, and occipital cortex of both sides and in the right mesiotemporal cortex. Electroencephalography (EEG) revealed intermittent rhythmic delta activity in the occipital and right temporal areas. Right mesiotemporal MRI and EEG alterations could be caused by a small brain parenchymal defect with hemosiderin deposits after a cavernomectomy. This paradigmatic case provides evidence of syndromic OCS in ACTG1-associated Baraitser-Winter cerebrofrontofacial syndrome. The MRI findings are compatible with a dysfunction of the cortico-striato-thalamo-cortical loops involved in OCD. If a common pathophysiology is confirmed in future studies, corresponding patients with Baraitser-Winter cerebrofrontofacial syndrome type 2 should be screened for OCS. The association may also contribute to a better understanding of OCD pathophysiology."
30541113,2019,European heart journal. Cardiovascular Imaging,10.1093/ehjci/jey196,University athletes and changes in cardiac geometry: insight from the 2015 Gwangju Summer Universiade.,"There is a paucity of data regarding the changes of cardiac geometry in highly trained international and multiracial university athletes. We aimed to investigate the incidence of structural cardiac abnormalities and changes of cardiac geometry in highly trained university athletes. Comprehensive echocardiographic studies were performed in 1185 university athletes through the Check-up Your Heart Program during the 2015 Gwangju Summer Universiade. Participants were divided into two groups: normal vs. abnormal left ventricular (LV) geometry (concentric remodelling, concentric hypertrophy, or eccentric hypertrophy). Structural heart diseases associated with sudden cardiac death were not identified, but minor structural cardiac abnormalities were common in university athletes. One hundred and fifty-six athletes (13.2%) had abnormal LV geometry; concentric remodelling (n = 73, 6.2%), concentric hypertrophy (n = 25, 2.1%), and eccentric hypertrophy (n = 58, 4.9%). Abnormal LV geometry was significantly more common in athletes of African descent and in endurance, mixed, or power disciplines. In multivariate logistic regression analysis, athletes of African descent [odds ratio (OR) 2.16, 95% confidence interval (CI) 1.34-3.46; P = 0.001], endurance disciplines (OR 1.79, 95% CI 1.26-2.54; P = 0.001), and training time (OR 1.01, 95% CI 1.00-1.02; P = 0.045) were independent predictors of abnormal LV geometry. A large scale cardiovascular screening programme of the 2015 Summer Universiade demonstrated that abnormal LV geometry is not uncommon (13.2%) and concentric remodelling is the most common pattern of LV geometric change in young trained university athletes. Race, type of sport, and training time are significant predictors of abnormal LV geometry. Structural cardiac abnormalities are common in university athletes even though they are minor abnormalities."
28591795,2018,"Cerebral cortex (New York, N.Y. : 1991)",10.1093/cercor/bhx131,Socioeconomic Status and Reading Disability: Neuroanatomy and Plasticity in Response to Intervention.,"Although reading disability (RD) and socioeconomic status (SES) are independently associated with variation in reading ability and brain structure/function, the joint influence of SES and RD on neuroanatomy and/or response to intervention is unknown. In total, 65 children with RD (ages 6-9) with diverse SES were assigned to an intensive, 6-week summer reading intervention (n = 40) or to a waiting-list control group (n = 25). Before and after, all children completed standardized reading assessments and magnetic resonance imaging to measure cortical thickness. At baseline, higher SES correlated with greater vocabulary and greater cortical thickness in bilateral perisylvian and supramarginal regions-especially in left pars opercularis. Within the intervention group, lower SES was associated with both greater reading improvement and greater cortical thickening across broad, bilateral occipitotemporal and temporoparietal regions following the intervention. Additionally, treatment responders (n = 20), compared with treatment nonresponders (n = 19), exhibited significantly greater cortical thickening within similar regions. The waiting control and nonresponder groups exhibited developmentally typical, nonsignificant cortical thinning during this time period. These findings indicate that effective summer reading intervention is coupled with cortical growth, and is especially beneficial for children with RD who come from lower-SES home environments."
29329062,2018,Journal of affective disorders,10.1016/j.jad.2017.12.097,Amygdala response to emotional faces in seasonal affective disorder.,"Seasonal affective disorder (SAD) is characterized by seasonally recurring depression. Heightened amygdala activation to aversive stimuli is associated with major depressive disorder but its relation to SAD is unclear. We evaluated seasonal variation in amygdala activation in SAD and healthy controls (HC) using a longitudinal design targeting the asymptomatic/symptomatic phases of SAD. We hypothesized increased amygdala activation to aversive stimuli in the winter in SAD individuals (season-by-group interaction). Seventeen SAD individuals and 15 HCs completed an implicit emotional faces BOLD-fMRI paradigm during summer and winter. We computed amygdala activation (SPM5) to an aversive contrast (angry & fearful minus neutral) and angry, fearful and neutral faces, separately. Season-by-group and main effects were evaluated using Generalized Least Squares. In SAD individuals, we correlated change in symptom severity, assessed with The Hamilton Rating Scale for Depression - Seasonal Affective Disorder version (SIGH-SAD), with change in amygdala activation. We found no season-by-group, season or group effect on our aversive contrast. Independent of season, SAD individuals showed significantly lower amygdala activation to all faces compared to healthy controls, with no evidence for a season-by-group interaction. Seasonal change in amygdala activation was unrelated to change in SIGH-SAD. Small sample size, lack of positive valence stimuli. Amygdala activation to aversive faces is not increased in symptomatic SAD individuals. Instead, we observed decreased amygdala activation across faces, independent of season. Our findings suggest that amygdala activation to angry, fearful and neutral faces is altered in SAD individuals, independent of the presence of depressive symptoms."
