pmid,title,abstract
6825246,Noninvasive assessment of seasonal variations in cardiac structure and function in cyclists.,
1439164,Cardiac structure and function in women basketball athletes: seasonal variation and comparisons with nonathletic controls.,"To characterize hypertrophy and quantify seasonal changes in cardiac structure and function of women collegiate basketball (BB) athletes (n = 15), echocardiographic (echo) measurements were made in the fall (FALL1), winter (WIN), and spring (SPR), then again during the subsequent fall (FALL2; n = 10). Comparisons were made to age-matched nonathletes (NA) measured during FALL1 (n = 22) and SPR (n = 5). Left ventricular (LV) internal dimension-diastole (LVIDd), LV end-diastolic volume (LVEDV), stroke volume (SV), LV mass (LVM), septal thickness (IVS), LV posterior wall thickness (LVPW), right ventricular (RV) internal dimension-diastole (RVIDd), and aortic root diameter (AOD) were significantly larger (12-70%) in the athletes; RVIDd-, LVEDV-, SV-, and LVM-index were also significantly greater (8-46%). From FALL1 to SPR measurement periods, LVIDd, RVIDd, LVEDV, SV, IVS, and LVM-index increased significantly (7-18%) in the athletes. Over the same period of time, LVIDd, LAD, AOD, LVEDV, and SV measured in the five NA subjects increased significantly. In the athletes, LVIDs, RVIDd, IVS, LVPW, and LVM decreased significantly (5-30%) from the SPR to FALL2 measurement period. These data characterize the general nature of the cardiac hypertrophy noted in women BB athletes compared to NA controls and show that distinct changes in heart structure corresponding to different periods of the competitive season can occur in these athletes."
35249137,Seasonal variation of right heart function in elite skiers-racers: an echocardiographic study.,"To examine seasonal variation of the right heart (RH) structure and function in elite skiers-racers. The same group of 16 male was recruited into the study in the period of preparation for national competitions. The study was carried out at the hospital in Sykyvkar, the European North of Russia, which is located near 62° NL and 51° EL. The winter resting echocardiography study was performed in December 2017 (with the average temperature of - 7.8 °C) and the summer resting echocardiography study was performed in July 2018 (with the average temperature of + 23.8 °C). No significant difference was seen between the right atrium and ventricle dimensions in diastole in winter and summer (P > 0.05). In December both early diastolic peak filling velocity of the right ventricle (RV) and late atrial diastolic peak filling velocity of the RV were greater than that measured in July: 65 ± 7 vs. 56 ± 6 cm/s and 40 ± 6 vs. 34 ± 3 cm/s, respectively (P < 0.05). It was found out that blood flow ejection time at the root of pulmonary artery in winter was greater than in summer: 371 ± 27 vs. 345 ± 27 ms, respectively (P < 0.05). Regurgitation of blood flow in the tricuspid valve (from 1 to 1.5 grade or mild/moderate) was observed in all of the sixteen skiers studied. The right heart functional adaptation to cold occurs in elite skiers-racers. The right heart intracardiac hemodynamics increased in winter time."
37817231,Seasonal variation of cardiac structure and function in the elite rugby football league athlete.,"Pre-participation cardiac screening (PCS) of ""Super-League"" rugby football league (RFL) athletes is mandatory but may be completed at any time point. The aim of this study was to assess cardiac electrical, structural and functional variation across the competitive season. Elite, male, RFL athletes from a single Super-League club underwent cardiac evaluation using electrocardiography (ECG), 2D echocardiography and speckle tracking echocardiography (STE) at four time points across the RFL season; (1) End pre-season (ENDPRE), (2) mid-season (MIDCOMP), (3) end-season (ENDCOMP) and (4) End off-season (ENDOFF). Training loads for each time point were also determined. One-way ANOVA with post-hoc Bonferroni were used for statistical analyses. Total workload undertaken by athletes was lower at both MIDCOMP and ENDCOMP compared to ENDPRE (P < 0.001). ECG patterns were normal with training-related changes that were largely consistent across assessments. Structural data did not vary across assessment points. Standard functional data was not different across assessment points but apical rotation and twist were higher at ENDPRE (9.83˚ and 16.55˚, respectively compared to all other time points (MIDCOMP, 6.13˚ and 12.62˚; ENDCOMP, 5.84˚ and 12.12˚; ENDOFF 6.60˚ and 12.35˚). Despite some seasonal variation in training load, the athletes' ECG and cardiac structure were stable across a competitive season. Seasonal variation in left ventricular (LV) apical rotation and twist, associated with higher training loads, should be noted in the context of PCS."
30429541,Health effects of seasonal variation in cardiovascular hemodynamics among workers in forest environments.,"Seasonal variation in cardiovascular functions (CVFs) associated with climatic changes is an important emerging public health issue. The objectives of this study were to demonstrate seasonal variation in CVFs by comparing intra-individual differences between winter and summer among people working in a forest environment and to discuss the possible mechanisms accounting for the health effects of seasonal variation in cardiovascular hemodynamics. A total of 72 staff members of the Experimental Forest of National Taiwan University were recruited for continuous health monitoring during two seasons to investigate the intra-individual seasonal variation in CVFs, complete blood counts, and biochemical examinations. CVFs were assessed by measuring the arterial pressure waveform by a cuff sphygmomanometer using an oscillometric blood pressure device, and aortic stiffness was measured by brachial-ankle pulse wave velocity (baPWV). The results showed that cholesterol levels, white and red blood cell counts, and platelet counts were higher in winter than in summer. Subjects showed not only higher vascular stress, as indicated by higher levels of brachial systolic and diastolic blood pressure (SBP and DBP), central end-SBP and DBP, systemic vascular resistance (SVR), and baPWV, but also lower cardiac activities, including lower levels of heart rate, left ventricular contractility, and cardiac output in winter than in summer. The central and brachial BP, cardiac output, SVR, and baPWV were significantly associated with temperature changes in seasonal variation after controlling related confounding factors. This study provides evidence of higher vascular stress and susceptibility to atherothrombosis during winter compared with summer."
19776756,Seasonal variation in haemodynamics and blood pressure-regulating hormones.,"Seasonal variation in blood pressure (BP) has been described in some people, although the variation is small for both systolic and diastolic BPs. The aim of this study was to elucidate underlying haemodynamic and hormonal mechanisms that may occur to defend seasonal changes in BP. Participants were 27 men and 7 women with either normal BP or early hypertension. Measurements of haemodynamics (cardiac output by dual-gas rebreathing) and hormones (resting catecholamines, renin activity, and aldosterone by radioenzymatic assay or radioimmunoassay) were performed during the summer, fall, winter, and spring seasons. Student's paired t-test with Bonferroni modification and regression analyses were used to examine the data with a significance level of P<0.05. Systolic and diastolic BP remained relatively constant across seasons. Cardiac output and stroke volume significantly decreased 10 and 15%, respectively, from summer to winter, whereas heart rate and systemic vascular resistance significantly increased 5 and 11%, respectively. Plasma aldosterone (PA) significantly increased 59% from summer to winter, whereas plasma norepinephrine (PNE), plasma epinephrine, and plasma renin activity (PRA) increased 19, 2, and 17%, respectively (pNS for each). Across the four seasons, mean arterial pressure significantly correlated with PRA and PA, whereas systemic vascular resistance significantly correlated with PNE and PRA. There are dramatic counterregulatory haemodynamic and hormonal adaptations to maintain a relatively constant BP. Norepinephrine, PRA, and aldosterone have a function in mediating the changes in haemodynamics."
10879418,Summer-winter differences in 24 h variability of heart rate.,"To examine possible seasonal changes in heart rate variability (HRV). Greater than normal mortality from cardiovascular disease (CVD) in the winter has been reported for many countries and might be partly explained by considering seasonal changes in CVD risk factors. Depression of HRV is an independent predictor of arrhythmic complications and of cardiac death, and it is also among the variables that may be affected by the season of the year. We compared pairs of 24 h HRV data of 120 healthy men who were examined once in the summer and once in the winter. Multivariate analyses were performed for each dependent variable (HRV indexes) in separate statistical models with age, resting heart rate, serum level of cholesterol, cigarette smoking, body mass index, sports habits, alcohol consumption, systolic blood pressure, physical activity at work, years of education, consumption of energy, and season as the independent variables. Although there were no seasonal differences in mean R-R interval, all indexes of HRV were found to be lower in the summer than they were during winter. Differences and 95% confidence intervals were standard deviation (SD) of coupling intervals between normal beats 12 ms, 6-17 ms; SD of 5 min mean R-R intervals 14 ms, 8-20 ms; mean of all 5 min SD of R-R intervals 2.0 ms, 0.6-2.5 ms; proportion of adjacent R-R intervals differing by > 50 ms 1.5%, 0.6-2.5% and root mean square of the difference between successive normal intervals 3.1 ms, 1.5-4 ms. Multivariate analyses showed that HRV in the winter was less than that in the summer even after adjustment for age, serum level of cholesterol, systolic blood pressure, and body mass index. HRV indexes of healthy men vary physiologically by season, with lowest values obtained in the winter. Since low HRV is linked to pathologic conditions, the significance of seasonal changes for those suffering from CVD and their possible contribution to the greater mortality rates in winter have to be considered."
19424916,Reproducibility and seasonal variation of ambulatory short-term heart rate variability in healthy subjects during a self-selected rest period and during sleep.,"Although ambulatory measurements of heart rate variability (HRV) are widely used, the reproducibility and seasonal variation of ambulatory sampled short-term HRV measurements in healthy participants has not been investigated before. In the present study we collected ambulatory ECGs from 19 healthy participants monthly for 12 months, and for a sub-group of 12 participants weekly for one month. Frequency-domain HRV-metrics were calculated for 5 min ECG segments during (i) a 15-min self-selected rest period (awake period), and (ii) a 30-min sleep period starting 45 min after estimated sleep onset. Total, within- and between-subject coefficient of variation (CV) and seasonal variation were estimated for ln (TP), ln (LFP), ln (HFP), ln (LF/HF), LFnu, HFnu, the mean heart period and the ECG derived respiratory frequency.The within- and between-subject CV varied considerably between different variables, from < 10% for ln (TP) and ln (LFP) to >100% for ln (LF/HF). Within- and between-subject CV of ln (HFP), LFnu and HFnu were 10-40%. A weak, but significant, seasonal variation was found for ln (TP) (p = 0.05), ln (LFP) (p<0.05) and the respiratory frequency (p<0.01), but the seasonal variation did not affect the within-subject CV. Furthermore, sample size calculations demonstrated that the reproducibility was sufficient for ambulatory HRV measurements to be used to study autonomic cardiac regulation in healthy populations."
27518888,Heart rate variability in workers of various professions in contrasting seasons of the year.,"It is known that professional occupation affects the heart rate variability (HRV). However, most studies have not taken into account seasonal features of the HRV. The aim of this study has been to evaluate the HRV differences in winter and in summer in the case of the Ministry of the Russian Federation for Civil Defense, Emergencies and Elimination of Consequences of Natural Disasters (EMERCOM) workers and scientific workers from the Komi Science Center of the Ural Branch of the Russian Academy of Sciences. The short-term HRV was examined for 13 EMERCOM workers and 13 scientific workers. The data was collected in winter (December) and summer (July) for the same groups of workers. The time domain and frequency domain HRV analyses were performed. The EMERCOM workers had more contact with the external environment than the scientific workers. The two-way analysis of variance with repeated observations on a single factor has shown that ""Season"" and interaction of two factors ""Season"" and ""Profession"" significantly influenced the HRV among volunteers. The ""Profession"" factor did not influence the HRV parameters (except for the heart rate in winter, p = 0.042). Seasonal changes in the HRV parameters were not significant in the case of scientific workers. In contrast, the EMERCOM workers showed significantly decreased parameters of parasympathetic activity (the root-mean-square of successive differences in RR intervals, percentage of consecutive RR intervals differing by > 50 ms and the relative value high frequency power, p = 0.001, p = 0.014 and p = 0.009, respectively) and increased parameters of sympathetic activity (the stress index and ratio of low-frequency power to high-frequency power, p = 0.012 and p = 0.006, respectively) in winter as compared to summer. The results of our study indicate that, unlike the scientific workers, the EMERCOM workers showed significant changes in the HRV in contrasting seasons (winter and summer). A season of a year should be considered when assessing the HRV among workers of various professions. Int J Occup Med Environ Health 2016;29(5):793-800."
23111917,Seasonal differences in melatonin concentrations and heart rates during sleep in obese subjects in Japan.,"During the past several decades, obesity has been increasing globally. In Japan, obesity is defined by a BMI of 25 kg/m² or over; 28.6 % of men and 20.6 % of women are obese. Obese people have an increased incidence of developing cardiovascular, renal, and hormonal diseases and sleep disorders. Obese people also have shortened sleep durations. We investigated seasonal differences in melatonin concentrations, heart rates, and heart rate variability during sleep in obese subjects in Japan. Five obese (BMI, 32.0 ± 4.9 kg/m²) and five non-obese (BMI, 23.2 ± 2.9 kg/m²) men participated in this study in the summer and winter. Electrocardiograms were measured continuously overnight in a climatic chamber at 26 °C with a relative humidity of 50 %. Saliva samples for melatonin were collected at 2300 hours, 0200 hours, and 0600 hours. We found that melatonin concentrations during sleep in obese subjects were significantly lower than those in non-obese subjects in the winter. Heart rate during sleep in winter was significantly higher than that in summer in both obese and non-obese subjects. Heart rate variability was not significantly different in the summer and winter in both obese and non-obese subjects. Our results show that decreased nocturnal melatonin concentrations during winter in obese men may be related to higher heart rates, and this may suggest that obese men are at an increased risk of a cardiovascular incident during sleep, especially in the winter."
